STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-9 	 12 	 1020 	0 	 0 	 89 	0.23625 	 0.35875 	 -1.40875 	23.6 	
-8 	 15 	 1016 	0 	 0 	 90 	0.525 	 0.20125 	 -1.26875 	23.6 	
-6 	 14 	 1019 	0 	 0 	 90 	0.63875 	 0.21 	 -1.09375 	23.6 	
-7 	 14 	 1016 	0 	 0 	 90 	0.875 	 0.14 	 -1.085 	23.7 	
-8 	 13 	 1013 	0 	 0 	 89 	0.6475 	 0.21875 	 -0.9275 	23.7 	
-8 	 12 	 1013 	0 	 0 	 90 	0.07875 	 0.41125 	 -0.665 	23.6 	
-8 	 11 	 1018 	0 	 0 	 90 	-0.18375 	 0.51625 	 -0.49 	23.6 	
-6 	 12 	 1018 	0 	 0 	 90 	-0.175 	 0.53375 	 -0.49 	23.6 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.1575 	 0.49875 	 -0.56 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.25375 	 0.5075 	 -0.56 	23.6 	
-7 	 14 	 1012 	0 	 0 	 90 	-0.595 	 0.65625 	 -0.55125 	23.6 	
-7 	 12 	 1015 	0 	 0 	 90 	-1.295 	 0.90125 	 -0.27125 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-1.53125 	 1.00625 	 -0.1575 	23.6 	
-6 	 15 	 1017 	0 	 0 	 90 	-1.61875 	 1.05 	 0.06125 	23.6 	
-5 	 9 	 1029 	0 	 0 	 90 	-1.40875 	 0.97125 	 0.2275 	23.6 	
-8 	 15 	 1013 	0 	 0 	 90 	-0.3675 	 0.58625 	 -0.02625 	23.6 	
-7 	 9 	 1021 	0 	 0 	 90 	-0.27125 	 0.53375 	 -0.00875 	23.6 	
